id,asset_path,category,source_en,source_status,voice_scope,voice_direction,pt_br,status,actor,license,notes
axe_ability_berserk_08,sounds/vo/axe/axe_ability_berserk_08.vsnd_c,ability_berserk,Rah!,official_caption,excluded_nonverbal,,,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_berserk_09,sounds/vo/axe/axe_ability_berserk_09.vsnd_c,ability_berserk,Ha!,official_caption,excluded_nonverbal,,,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_cullingblade_01,sounds/vo/axe/axe_ability_cullingblade_01.vsnd_c,ability_cullingblade,Culled!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Abatido!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_cullingblade_02,sounds/vo/axe/axe_ability_cullingblade_02.vsnd_c,ability_cullingblade,Wheat before a scythe!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Trigo diante da foice!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_failure_01,sounds/vo/axe/axe_ability_failure_01.vsnd_c,ability_failure,Axe misjudged?,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe calculou mal?,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_failure_02,sounds/vo/axe/axe_ability_failure_02.vsnd_c,ability_failure,Axe misjudged?,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe calculou mal?,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ability_failure_03,sounds/vo/axe/axe_ability_failure_03.vsnd_c,ability_failure,You're tougher than Axe thought!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Você é mais resistente do que Axe pensava!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_01,sounds/vo/axe/axe_ally_01.vsnd_c,ally,Axe has a cousin?,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Axe tem um primo?,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_02,sounds/vo/axe/axe_ally_02.vsnd_c,ally,"You look like Axe, only slightly less.",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Você se parece com Axe, só que um pouco menos.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_03,sounds/vo/axe/axe_ally_03.vsnd_c,ally,Oglodi fight side by side.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Os Oglodi lutam lado a lado.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_04,sounds/vo/axe/axe_ally_04.vsnd_c,ally,"That is a fearsome creature you ride, Disruptor.",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Essa criatura que você monta é assustadora, Disruptor.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_05,sounds/vo/axe/axe_ally_05.vsnd_c,ally,"Side by side, the Oglodi fight.",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Lado a lado, os Oglodi lutam.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_06,sounds/vo/axe/axe_ally_06.vsnd_c,ally,The Oglodi shall take this fight.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Os Oglodi vencerão esta batalha.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_07,sounds/vo/axe/axe_ally_07.vsnd_c,ally,Warlock brings a book. Axe brings an axe.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Warlock traz um livro. Axe traz um machado.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_08,sounds/vo/axe/axe_ally_08.vsnd_c,ally,Nice choppers! Axe approves!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Belos machados! Axe aprova!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_09,sounds/vo/axe/axe_ally_09.vsnd_c,ally,Axe is curious. Where did your face go?,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Axe está curioso. Aonde foi parar o seu rosto?,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_10,sounds/vo/axe/axe_ally_10.vsnd_c,ally,"Undying, don't order Axe around and we'll get along just fine.",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Undying, não dê ordens a Axe e nos daremos muito bem.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_11,sounds/vo/axe/axe_ally_11.vsnd_c,ally,"Don't worry, Treant, Axe does not come to chop you.",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Não se preocupe, Treant. Axe não veio cortar você.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_12,sounds/vo/axe/axe_ally_12.vsnd_c,ally,"Witch doctor, our enemies are in need of Axe-amination!",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Witch Doctor, nossos inimigos precisam de um Axe-ame!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_ally_13,sounds/vo/axe/axe_ally_13.vsnd_c,ally,"Tinker, eh? War is an Axe-act science!",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Tinker, é? A guerra é uma ciência Axe-ata!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_anger_01,sounds/vo/axe/axe_anger_01.vsnd_c,anger,Grrrr!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_anger_02,sounds/vo/axe/axe_anger_02.vsnd_c,anger,Rraaaa!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_anger_03,sounds/vo/axe/axe_anger_03.vsnd_c,anger,Aaahh!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_attack_01,sounds/vo/axe/axe_attack_01.vsnd_c,attack,Attack!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Ataquem!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_02,sounds/vo/axe/axe_attack_02.vsnd_c,attack,Taste my blade!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Prove a minha lâmina!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_03,sounds/vo/axe/axe_attack_03.vsnd_c,attack,A slice of the action!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Uma fatia da ação!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_04,sounds/vo/axe/axe_attack_04.vsnd_c,attack,Here comes the axe!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Lá vem o machado!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_05,sounds/vo/axe/axe_attack_05.vsnd_c,attack,Axe brings the axe!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe traz o machado!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_06,sounds/vo/axe/axe_attack_06.vsnd_c,attack,Axe trades in death!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe negocia com a morte!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_07,sounds/vo/axe/axe_attack_07.vsnd_c,attack,Wet my blade!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Molhe a minha lâmina!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_08,sounds/vo/axe/axe_attack_08.vsnd_c,attack,Here you break.,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Aqui você se quebra.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_09,sounds/vo/axe/axe_attack_09.vsnd_c,attack,Axe hacks!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe retalha!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_attack_10,sounds/vo/axe/axe_attack_10.vsnd_c,attack,Axe attacks!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe ataca!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_battlebegins_01,sounds/vo/axe/axe_battlebegins_01.vsnd_c,battlebegins,There can be no battle till Axe is at hand. And Axe is.,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Não há batalha até Axe chegar. E Axe chegou.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_blink_01,sounds/vo/axe/axe_blink_01.vsnd_c,blink,Blink dagger!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Adaga de Translocação!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_blink_02,sounds/vo/axe/axe_blink_02.vsnd_c,blink,"Don't worry, precious Axe. Blink Dagger does not come to chop.",official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,"Não se preocupe, precioso Axe. A Adaga de Translocação não veio cortar.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_blinkcull_01,sounds/vo/axe/axe_blinkcull_01.vsnd_c,blinkcull,Not so fast!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Não tão rápido!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_blinkcull_02,sounds/vo/axe/axe_blinkcull_02.vsnd_c,blinkcull,You been blinked!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Você foi translocado!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_blinkcull_03,sounds/vo/axe/axe_blinkcull_03.vsnd_c,blinkcull,No escaping Axe!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Ninguém escapa de Axe!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_bottle_01,sounds/vo/axe/axe_bottle_01.vsnd_c,bottle,Saved for later.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Guardado para depois.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_bottle_02,sounds/vo/axe/axe_bottle_02.vsnd_c,bottle,For another time.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Para outra hora.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_bottle_03,sounds/vo/axe/axe_bottle_03.vsnd_c,bottle,When the time is right.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Quando chegar o momento certo.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_bottle_04,sounds/vo/axe/axe_bottle_04.vsnd_c,bottle,"Axe does not need this, but no one else shall have it.",official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,"Axe não precisa disto, mas ninguém mais ficará com isso.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_cast_01,sounds/vo/axe/axe_cast_01.vsnd_c,cast,Cut to the chase!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Vamos direto ao corte!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_cast_02,sounds/vo/axe/axe_cast_02.vsnd_c,cast,Not by blade alone!,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Nem só de lâmina vive Axe!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_crumwiz_01,sounds/vo/axe/axe_crumwiz_01.vsnd_c,crumwiz,Crummy wizard!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Mago imprestável!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_01,sounds/vo/axe/axe_death_01.vsnd_c,death,No!,official_caption,spoken,derrotado; pesado; intensidade decrescente,Não!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_02,sounds/vo/axe/axe_death_02.vsnd_c,death,Axe dies...,official_caption,spoken,derrotado; pesado; intensidade decrescente,Axe morre...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_03,sounds/vo/axe/axe_death_03.vsnd_c,death,Here a hero dies...,official_caption,spoken,derrotado; pesado; intensidade decrescente,Aqui morre um herói...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_04,sounds/vo/axe/axe_death_04.vsnd_c,death,A soldier's death...,official_caption,spoken,derrotado; pesado; intensidade decrescente,A morte de um soldado...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_05,sounds/vo/axe/axe_death_05.vsnd_c,death,Axe falls in battle...,official_caption,spoken,derrotado; pesado; intensidade decrescente,Axe cai em batalha...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_06,sounds/vo/axe/axe_death_06.vsnd_c,death,Axe is blunted...,official_caption,spoken,derrotado; pesado; intensidade decrescente,Axe perdeu o fio...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_07,sounds/vo/axe/axe_death_07.vsnd_c,death,Axe cuts no more...,official_caption,spoken,derrotado; pesado; intensidade decrescente,Axe não corta mais...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_08,sounds/vo/axe/axe_death_08.vsnd_c,death,The cruelest cut...,official_caption,spoken,derrotado; pesado; intensidade decrescente,O corte mais cruel...,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_09,sounds/vo/axe/axe_death_09.vsnd_c,death,You and what army?,official_caption,spoken,derrotado; pesado; intensidade decrescente,Você e qual exército?,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_death_10,sounds/vo/axe/axe_death_10.vsnd_c,death,Death cuts both ways.,official_caption,spoken,derrotado; pesado; intensidade decrescente,A morte corta dos dois lados.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_01,sounds/vo/axe/axe_deny_01.vsnd_c,deny,Denied.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Negado.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_02,sounds/vo/axe/axe_deny_02.vsnd_c,deny,Denied!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Negado!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_03,sounds/vo/axe/axe_deny_03.vsnd_c,deny,Denied.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Negado.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_04,sounds/vo/axe/axe_deny_04.vsnd_c,deny,You get nothing.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Você não ganha nada.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_05,sounds/vo/axe/axe_deny_05.vsnd_c,deny,You get nothing!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Você não ganha nada!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_06,sounds/vo/axe/axe_deny_06.vsnd_c,deny,Axe defies you!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Axe desafia você!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_07,sounds/vo/axe/axe_deny_07.vsnd_c,deny,None for you!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Nada para você!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_08,sounds/vo/axe/axe_deny_08.vsnd_c,deny,You deserve nothing!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Você não merece nada!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_09,sounds/vo/axe/axe_deny_09.vsnd_c,deny,Nuh-uh!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Nem pensar!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_10,sounds/vo/axe/axe_deny_10.vsnd_c,deny,Uh uh!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,De jeito nenhum!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_11,sounds/vo/axe/axe_deny_11.vsnd_c,deny,No!,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,Não!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_12,sounds/vo/axe/axe_deny_12.vsnd_c,deny,Not this time.,official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Desta vez, não.",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_13,sounds/vo/axe/axe_deny_13.vsnd_c,deny,Mwa ha ha ha ha!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_deny_14,sounds/vo/axe/axe_deny_14.vsnd_c,deny,Ha ha!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_deny_15,sounds/vo/axe/axe_deny_15.vsnd_c,deny,"You get nothing. Good day, sir!",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Você não ganha nada. Tenha um bom dia, senhor!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_deny_16,sounds/vo/axe/axe_deny_16.vsnd_c,deny,"I said good day, sir!",official_caption,spoken,provocador; arrogante; humor seco; ritmo conversado,"Eu disse: tenha um bom dia, senhor!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_doubdam_01,sounds/vo/axe/axe_doubdam_01.vsnd_c,doubdam,Double damage!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Dano dobrado!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_doubdam_02,sounds/vo/axe/axe_doubdam_02.vsnd_c,doubdam,Cuts two ways!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Corta dos dois lados!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_drop_common_01,sounds/vo/axe/axe_drop_common_01.vsnd_c,drop_common,"Oh, Axe like!",official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,"Ah, Axe gostou!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_drop_medium_01,sounds/vo/axe/axe_drop_medium_01.vsnd_c,drop_medium,Axe likes this very much.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Axe gostou muito disto.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_drop_rare_01,sounds/vo/axe/axe_drop_rare_01.vsnd_c,drop_rare,Axe likes this so much words fail Axe.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Axe gostou tanto que ficou sem palavras.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_fastres_01,sounds/vo/axe/axe_fastres_01.vsnd_c,fastres,Time for a reinAxement!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Hora de receber reforç-Axe!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_fastres_02,sounds/vo/axe/axe_fastres_02.vsnd_c,fastres,Axe is back and ready to whack! And also hack!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Axe voltou pronto para bater e cortar!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_firstblood_01,sounds/vo/axe/axe_firstblood_01.vsnd_c,firstblood,"Ha ha, the blade of Axe has tasted first blood!",official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,"Ha ha, a lâmina de Axe provou o primeiro sangue!",placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_firstblood_02,sounds/vo/axe/axe_firstblood_02.vsnd_c,firstblood,Axe will whittle them down one by one.,official_caption,spoken,guerreiro brutal; agressivo; projeção forte; ritmo rápido,Axe vai derrubá-los um por um.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_happy_01,sounds/vo/axe/axe_happy_01.vsnd_c,happy,Oooh!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_02,sounds/vo/axe/axe_happy_02.vsnd_c,happy,Oooh!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_03,sounds/vo/axe/axe_happy_03.vsnd_c,happy,Mmmm!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_04,sounds/vo/axe/axe_happy_04.vsnd_c,happy,Ooh!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_05,sounds/vo/axe/axe_happy_05.vsnd_c,happy,Yeah!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_06,sounds/vo/axe/axe_happy_06.vsnd_c,happy,Ahhh!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_happy_07,sounds/vo/axe/axe_happy_07.vsnd_c,happy,Mmm!,official_caption,excluded_nonverbal,,,placeholder,,,
axe_haste_01,sounds/vo/axe/axe_haste_01.vsnd_c,haste,Haste!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Velocidade!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_haste_02,sounds/vo/axe/axe_haste_02.vsnd_c,haste,Haste lays waste.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,A velocidade traz devastação.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_illus_01,sounds/vo/axe/axe_illus_01.vsnd_c,illus,Illusion!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Ilusão!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_illus_02,sounds/vo/axe/axe_illus_02.vsnd_c,illus,The axe blades dazzle.,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,As lâminas de Axe confundem os olhos.,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_illus_03,sounds/vo/axe/axe_illus_03.vsnd_c,illus,Axe has gone three blades!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Agora Axe tem três lâminas!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_immort_01,sounds/vo/axe/axe_immort_01.vsnd_c,immort,Immortality!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Imortalidade!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_immort_02,sounds/vo/axe/axe_immort_02.vsnd_c,immort,The Axe's edge will never dull!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,O fio de Axe jamais ficará cego!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_inthebag_01,sounds/vo/axe/axe_inthebag_01.vsnd_c,inthebag,Axe is calling it: It's in the bag!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Axe já decidiu: esta vitória está garantida!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_inthebag_02,sounds/vo/axe/axe_inthebag_02.vsnd_c,inthebag,This was in the bag the day Axe was born!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Esta vitória estava garantida desde o dia em que Axe nasceu!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_invis_01,sounds/vo/axe/axe_invis_01.vsnd_c,invis,Invisibility!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Invisibilidade!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_invis_02,sounds/vo/axe/axe_invis_02.vsnd_c,invis,Axe fades from sight!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Axe desaparece de vista!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
axe_item_01,sounds/vo/axe/axe_item_01.vsnd_c,item,Vanguard!,official_caption,spoken,voz grave; confiante; personagem guerreiro; dicção clara,Vanguarda!,placeholder,,,Rascunho-guia baseado na legenda oficial EN; requer revisão comunitária.
